naona,2
kwanza,0
hujiamini,2
pia,0
huna,1
ajenda,3
wala,2
maono,3
vision,0
cha,6
msingi,5
ungekuja,1
na,2
nini,4
utafanya,1
then,0
ushauriwe,1
na,6
sio,5
bla,0
bla,0
tu,0
.,5
keep,6
dreaming,5
51,4
%,2
is,9
owned,3
by,7
tanzanians,11
as,7
we,0
speak,10
!,12
roho,6
inakuuma,1
najua,1
ila,6
fastjet,6
will,19
wipe,17
off,5
kq,1
from,18
her,13
2nd,1
runner,6
dominance,6
behind,18
et,0
!,21
and,14
from,18
this,3
news,6
here,9
they,4
will,19
put,17
only,9
one,15
aircraft,6
in,18
kenya,6
while,18
7,15
more,20
will,19
be,12
in,18
tanzania,7
!,5
headquarters,14
of,21
fastjet,8
pls,14
are,1
known,11
to,9
be,15
in,21
london,8
so,12
if,21
you,6
dream,10
of,21
having,5
them,6
then,12
let,10
them,6
come,10
to,9
nairobi,14
since,21
that,4
office,8
is,3
insignificant,2
to,9
me,6
as,21
the,4
mode,8
of,21
operation,8
for,21
fastjet,8
is,3
to,9
open,20
a,4
local,2
company,8
for,21
each,4
country,8
in,21
africa,8
while,21
fastjet,8
plc,8
parent,8
company,8
offices,14
remain,10
in,21
london,8
and,17
that,4
's,3
pretty,12
enough,12
for,21
me,6
!,24
ngoja,7
kiranga,6
aje,1
atakusaidia,1
.,5
tanzania,7
hamjakumbana,1
na,2
chochote,8
kule,8
m23,6
walikua,1
watoto,6
waliokabidhiwa,1
ak47,6
na,2
kulazimishwa,10
kupigana,10
.,5
afu,7
kumbuka,7
m23,6
walikua,1
kimaslahi,0
zaidi,0
maana,6
yao,8
ilikua,1
ni,9
madini,6
kule,8
drc,8
.,24
elewa,7
alshabaab,6
ni,9
wapiganaji,6
wamejitolea,1
kufa,10
na,2
wanafadhiliwa,1
na,12
mataifa,6
ya,13
kiarabu,6
.,5
wengi,11
ni,9
wapiganaji,6
wa,13
kigeni,11
waliokuja,1
na,12
ujuzi,6
na,2
silaha,6
za,13
kiaina,0
.,5
jamaa,6
wanapigania,1
dini,6
na,2
hakuna,3
kitu,6
hatari,6
kama,0
hicho,8
mtu,6
ashajua,1
akifa,1
ataenda,1
kuzimu,6
na,2
kukabidhiwa,10
mabikira,6
.,5
watakabidhiwa,1
na,13
wananchi,6
wazalendo,6
kama,0
walivyokabidhiwa,1
majimbo,6
yote,8
mawili,9
ya,14
mwanza,6
2010.,8
dua,6
ya,15
mwewe,6
...,10
udom,8
university,8
of,21
dodoma,8
.,24
utawaweza,1
hao,8
...,11
unafiki,6
tu,0
na,2
wivu,14
ndio,10
vimewajaa,1
.,5
rostam,8
aziz,6
ni,13
mtu,6
wa,17
hatari,6
sana,0
kwa,9
nchi,6
yetu,8
na,2
inabidi,1
azuiwe,1
kabla,9
hayatumbukiza,1
nchi,6
katika,9
matatizo,6
.,5
aliwamaliza,1
wapinzani,6
kibao,6
wa,17
kikwete,0
ndani,0
ya,17
ccm,6
na,2
sasa,0
amepata,1
another,4
front,8
!,24
tunamuombea,1
kwa,9
mungu,6
alale,1
mahali,6
pema,15
.,5
story,8
na,10
kudhani,16
ni,14
kwingi,17
sana,0
kwa,10
serikali,7
hii,9
hakuna,4
utekelezaji,7
wowote,9
.,6
jk,13
hawezi,2
kutekeleza,16
hili,9
ni,14
siasa,7
tu,0
kwani,15
hata,0
yeye,9
mwenyewe,9
anayo,1
alinunua,2
.,6
maswahiba,7
wake,9
ndio,12
wanaomiliki,2
hizo,9
nyumba,7
.,6
ngoja,8
niwapigie,2
simu,7
niwatolee,2
uvivu,7
.,6
.,6
jamani,6
kumbe,12
zitto,15
katoa,0
msaada,15
ili,7
ajinufaishe,0
kisiasa,12
?,14
mbona,2
sumaye,15
alikuwepo,0
mh,15
mathayo,15
na,13
hatuwasikii,0
iweje,0
iwe,0
yeye,20
tu,12
?,14
msiba,15
haupaswi,0
kutumika,16
kisiasa,12
kujitoa,16
namna,15
hii,20
.,14
ndiomaana,15
akapiga,0
mapicha,15
na,13
kumletea,16
mzee,15
ole,19
aonekane,0
kafanyakazi,0
loooh,15
hii,20
hasara,15
kubwa,17
.,14
mpaka,15
hapo,20
kwa,21
nini,2
wezi,15
hawa,20
wasishughulikiwe,0
?,14
duh,19
mwaka,15
huu,20
kweli,12
kuna,8
sifa,15
.,14
does,8
it,6
mean,21
a,4
tanzanian,2
university,9
can,23
not,13
build,21
a,4
22,19
storey,9
building,9
or,18
tanzania,9
can,23
not,13
build,21
that,4
kind,9
of,22
building,9
?,25
kama,13
ndio,3
hivyo,21
sidhani,0
kama,13
swali,16
lako,21
lina,8
tofauti,16
na,14
haya,16
hapa,21
kama,13
mbongo,16
angetaka,0
sifa,16
za,19
ki,10
...,5
its,17
like,2
1.,19
tanzania,4
ports,15
authority,9
builds,8
a,4
35,19
storey,9
building,9
watani,16
wa,19
jadi,16
hapo,21
kaskazini,13
mnaweza,0
?,15
or,19
tanzania,21
's,11
nssf,9
build,22
kigamboni,9
bridge,9
and,19
2,20
towers,16
35,20
floors,16
and,19
33,20
floors,16
dar,21
es,21
salaam,9
kigamboni,9
bridge,9
680m,2
u,9
c,26
page,9
7,20
skyscrapercity,9
dar,9
es,21
salaam,16
mzizima,16
towers,16
35+33,2
fl,2
u,9
c,26
skyscrapercity,9
tanzania,9
's,11
pspf,21
builds,8
35,20
floors,16
twin,2
towers,16
and,19
24,20
floors,16
tower,9
dar,9
es,21
salaam,9
pspf,21
commercial,2
towers,16
35,20
fl,9
x2,2
u,9
c,26
skyscrapercity,9
dar,9
es,21
salaam,9
pspf,21
house,9
u,9
c,9
skyscrapercity,9
local,2
authorities,16
pension,9
fund,9
lapf,16
build,12
a,4
27,20
floor,9
tower,9
dar,9
es,21
salaam,9
millennium,9
tower,9
ii,21
27,20
fl,2
u,9
c,26
skyscrapercity,9
rita,9
builds,8
a,4
30,20
storey,9
tower,9
dar,9
es,21
salaam,9
rita,9
tower,9
30,20
fl,9
u,9
c,9
skyscrapercity,9
.,27
umezipta,0
wapi,17
hizi,22
data,17
?,16
una,8
uhakika,17
nazo,13
?,16
isije,0
ikawa,0
unatuletea,0
udaku,17
.,16
wondering,15
...,16
where,19
brazameni,9
is,3
...,16
waambie,0
haya,17
hao,22
wenye,22
kofia,17
na,15
tisheti,17
za,20
ccm,17
hapo,22
msibani,17
.,16
lol,3
my,21
dear,3
friend,10
i,18
am,2
not,15
even,15
kenyan,3
.,30
